State,Week,Value
Idaho,02/05/2014,0
Idaho,09/05/2014,0
Idaho,16/05/2014,0
Idaho,23/05/2014,0
Idaho,30/05/2014,0
Idaho,06/06/2014,0
Idaho,13/06/2014,0
Idaho,20/06/2014,0
Idaho,27/06/2014,0
Idaho,03/07/2014,0
Idaho,11/07/2014,0
Idaho,18/07/2014,0
Idaho,25/07/2014,0
Idaho,01/08/2014,0
Idaho,08/08/2014,1
Idaho,15/08/2014,1
Idaho,22/08/2014,1
Idaho,29/08/2014,1
Idaho,05/09/2014,1
Idaho,12/09/2014,1
Idaho,19/09/2014,1
Idaho,26/09/2014,0
Idaho,03/10/2014,0
Idaho,10/10/2014,0
Idaho,17/10/2014,0
Idaho,24/10/2014,0
Idaho,31/10/2014,0
Idaho,07/11/2014,0
Idaho,14/11/2014,0
Idaho,21/11/2014,0
Idaho,26/11/2014,0
Idaho,05/12/2014,0
Idaho,12/12/2014,0
Idaho,19/12/2014,0
Idaho,26/12/2014,0
Idaho,02/01/2015,0
Idaho,09/01/2015,0
Idaho,16/01/2015,0
Idaho,23/01/2015,0
Idaho,30/01/2015,0
Idaho,06/02/2015,0
Idaho,13/02/2015,0
Idaho,20/02/2015,0
Idaho,27/02/2015,0
Idaho,06/03/2015,0
Idaho,13/03/2015,0
Idaho,20/03/2015,0
Idaho,27/03/2015,0
Idaho,02/04/2015,0
Idaho,10/04/2015,0
Idaho,17/04/2015,0
Idaho,24/04/2015,0
Idaho,01/05/2015,0
Idaho,08/05/2015,0
Idaho,15/05/2015,0
Idaho,22/05/2015,0
Idaho,29/05/2015,0
Idaho,05/06/2015,0
Idaho,12/06/2015,0
Idaho,19/06/2015,0
Idaho,26/06/2015,0
Idaho,02/07/2015,0
Idaho,10/07/2015,0
Idaho,17/07/2015,0
Idaho,24/07/2015,0
Idaho,31/07/2015,0
Idaho,07/08/2015,0
Idaho,14/08/2015,0
Idaho,21/08/2015,0
Idaho,28/08/2015,0
Idaho,04/09/2015,0
Idaho,11/09/2015,0
Idaho,18/09/2015,0
Idaho,25/09/2015,0
Idaho,02/10/2015,0
Idaho,09/10/2015,1
Idaho,16/10/2015,1
Idaho,23/10/2015,1
Idaho,30/10/2015,1
Idaho,06/11/2015,1
Idaho,13/11/2015,1
Idaho,20/11/2015,1
Idaho,25/11/2015,1
Idaho,04/12/2015,1
Idaho,11/12/2015,1
Idaho,18/12/2015,1
Idaho,23/12/2015,1
Idaho,31/12/2015,1
Idaho,08/01/2016,1
Idaho,15/01/2016,0
Idaho,22/01/2016,0
Idaho,29/01/2016,0
Idaho,05/02/2016,0
Idaho,12/02/2016,0
Idaho,19/02/2016,0
Idaho,26/02/2016,0
Idaho,04/03/2016,0
Idaho,11/03/2016,0
Idaho,18/03/2016,0
Idaho,24/03/2016,0
Idaho,01/04/2016,0
Idaho,08/04/2016,0
Idaho,15/04/2016,0
Idaho,22/04/2016,0
Idaho,29/04/2016,0
Idaho,06/05/2016,0
Idaho,13/05/2016,0
Idaho,20/05/2016,0
Idaho,27/05/2016,0
Idaho,03/06/2016,0
Idaho,10/06/2016,0
Idaho,17/06/2016,0
Idaho,24/06/2016,0
Idaho,01/07/2016,0
Idaho,08/07/2016,0
Idaho,15/07/2016,1
Idaho,22/07/2016,1
Idaho,29/07/2016,1
Idaho,05/08/2016,1
Idaho,12/08/2016,1
Idaho,19/08/2016,1
Idaho,26/08/2016,1
Idaho,02/09/2016,1
Idaho,09/09/2016,1
Idaho,16/09/2016,0
Idaho,23/09/2016,0
Idaho,30/09/2016,0
Idaho,07/10/2016,0
Idaho,14/10/2016,0
Idaho,21/10/2016,0
Idaho,28/10/2016,0
Idaho,04/11/2016,0
Idaho,11/11/2016,0
Idaho,18/11/2016,0
Idaho,23/11/2016,0
Idaho,02/12/2016,0
Idaho,09/12/2016,0
Idaho,16/12/2016,0
Idaho,23/12/2016,0
Idaho,30/12/2016,0
Idaho,06/01/2017,0
Idaho,13/01/2017,0
Idaho,20/01/2017,0
Idaho,27/01/2017,0
Idaho,03/02/2017,0
Idaho,10/02/2017,0
Idaho,17/02/2017,0
Idaho,24/02/2017,0
Idaho,03/03/2017,0
Idaho,10/03/2017,0
Idaho,17/03/2017,0
Idaho,24/03/2017,0
Idaho,31/03/2017,0
Idaho,07/04/2017,0
Idaho,13/04/2017,0
Idaho,21/04/2017,0
Idaho,28/04/2017,0
Idaho,05/05/2017,0
Idaho,12/05/2017,0
Idaho,19/05/2017,0
Idaho,26/05/2017,0
Idaho,02/06/2017,0
Idaho,09/06/2017,0
Idaho,16/06/2017,0
Idaho,23/06/2017,0
Idaho,30/06/2017,0
Idaho,07/07/2017,0
Idaho,14/07/2017,0
Idaho,21/07/2017,0
Idaho,28/07/2017,0
Idaho,04/08/2017,0
Idaho,11/08/2017,0
Idaho,18/08/2017,0
Idaho,25/08/2017,0
Idaho,01/09/2017,0
Idaho,08/09/2017,0
Idaho,15/09/2017,0
Idaho,22/09/2017,0
Idaho,29/09/2017,0
Idaho,06/10/2017,0
Idaho,13/10/2017,0
Idaho,20/10/2017,0
Idaho,27/10/2017,0
Idaho,03/11/2017,0
Idaho,10/11/2017,0
Idaho,17/11/2017,0
Idaho,22/11/2017,0
Idaho,01/12/2017,0
Idaho,08/12/2017,0
Idaho,15/12/2017,0
Idaho,22/12/2017,0
Idaho,29/12/2017,0
Idaho,05/01/2018,0
Idaho,12/01/2018,0
Idaho,19/01/2018,0
Idaho,26/01/2018,0
Idaho,02/02/2018,0
Idaho,09/02/2018,0
Idaho,16/02/2018,0
Idaho,23/02/2018,0
Idaho,02/03/2018,0
Idaho,09/03/2018,0
Idaho,16/03/2018,0
Idaho,23/03/2018,0
Idaho,29/03/2018,0
Idaho,06/04/2018,0
Idaho,13/04/2018,0
Idaho,20/04/2018,0
Idaho,27/04/2018,0
Idaho,04/05/2018,0
Idaho,11/05/2018,0
Idaho,18/05/2018,0
Idaho,25/05/2018,0
Idaho,01/06/2018,0
Idaho,08/06/2018,0
Idaho,15/06/2018,0
Idaho,22/06/2018,0
Idaho,29/06/2018,0
Idaho,06/07/2018,0
Idaho,13/07/2018,0
Idaho,20/07/2018,0
Idaho,27/07/2018,0
Idaho,03/08/2018,0
Idaho,10/08/2018,0
Idaho,17/08/2018,0
Idaho,24/08/2018,0
Idaho,31/08/2018,0
